Buying;Maint;doors;persons;Lug_boot;Safety;CarType;
high;low;3;5;med;med;bad;
low;vhigh;3;5;med;low;bad;
vhigh;low;4;5;med;high;good;
med;low;4;5;med;med;good;
med;vhigh;2;5;big;low;bad;
low;vhigh;2;2;med;med;good;
high;med;3;4;big;med;bad;
vhigh;high;2;4;med;high;bad;
high;vhigh;3;5;small;med;bad;
vhigh;med;3;2;med;high;good;
high;high;4;2;med;low;bad;
high;med;4;5;med;low;bad;
high;vhigh;3;2;med;high;bad;
high;low;2;5;small;high;bad;
low;high;2;2;small;med;bad;
med;med;5;4;big;low;bad;
med;low;5;2;small;med;bad;
med;low;2;4;med;low;bad;
med;high;5;2;med;high;bad;
low;vhigh;3;5;med;med;bad;
med;high;2;5;big;high;bad;
high;high;3;5;med;med;bad;
vhigh;high;5;2;big;low;bad;
low;vhigh;4;5;big;high;bad;
low;vhigh;2;2;big;med;bad;
high;low;4;2;big;high;bad;
med;vhigh;4;5;big;low;bad;
vhigh;high;5;4;small;med;bad;
med;low;4;4;small;high;good;
vhigh;med;2;2;med;high;bad;
low;low;3;4;med;med;bad;
vhigh;high;3;5;small;med;bad;
vhigh;low;2;5;small;high;bad;
high;low;4;4;med;low;bad;
med;vhigh;3;2;big;high;bad;
