Buying;Maint;doors;persons;Lug_boot;Safety;CarType;
low;high;2;4;med;med;Bad;
low;high;2;4;med;high;Bad;
low;high;2;4;big;low;Bad;
low;high;2;4;big;med;Bad;
low;high;2;4;big;high;Good;
low;high;2;5;small;low;Bad;
low;high;2;5;small;med;Bad;
low;high;2;5;small;high;Bad;
low;high;2;5;med;low;Bad;
low;high;2;5;med;med;Bad;
low;high;2;5;med;high;Bad;
low;high;2;5;big;low;Bad;
low;high;2;5;big;med;Bad;
low;high;2;5;big;high;Good;
low;high;3;2;small;low;Bad;
low;high;3;2;small;med;Bad;
low;high;3;2;small;high;Bad;
low;high;3;2;med;low;Bad;
low;high;3;2;med;med;Bad;
low;high;3;2;med;high;Bad;
low;high;3;2;big;low;Bad;
low;high;3;2;big;med;Bad;
low;high;3;2;big;high;Bad;
low;high;3;4;small;low;Bad;
low;high;3;4;small;med;Bad;
low;high;3;4;small;high;Bad;
low;high;3;4;med;low;Bad;
low;high;3;4;med;med;Bad;
low;high;3;4;med;high;Bad;
low;high;3;4;big;low;Bad;
low;high;3;4;big;med;Bad;
low;high;3;4;big;high;Good;
low;high;3;5;small;low;Bad;
low;high;3;5;small;med;Bad;
low;high;3;5;small;high;Bad;
low;high;3;5;med;low;Bad;
low;high;3;5;med;med;Bad;
low;high;3;5;med;high;Good;
low;high;3;5;big;low;Bad;
low;high;3;5;big;med;Bad;
low;high;3;5;big;high;Good;
low;high;4;2;small;low;Bad;
low;high;4;2;small;med;Bad;
low;high;4;2;small;high;Bad;
